accession	country	location	description	scientific_name	bio_material	culture_collection	specimen_voucher	sample_accession	study_accession	collected_by	collection_date	tax_id	identified_by	nums	colls	verbatimRecordedByID	recordedByLastName	recordedBy.x	recordedByID	numbers	gbifbc	taxon	taxonLabel	gbifID	scientificName	countryCode	recordedBy	eventDate	institutionCode	basisOfRecord
AM266830			Otiophora caerulea chloroplast rps16 gene intron, specimen voucher Dessein 367 (BR)	Otiophora caerulea			Dessein 367 (BR)					387024		367		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	367	BR0000005805006	http://www.wikidata.org/entity/Q15482450	Otiophora caerulea	1839424079	Otiophora caerulea (Hiern) Bullock	ZM	Dessein S.	2004-02-13T00:00:00	BR	PRESERVED_SPECIMEN
AM266830			Otiophora caerulea chloroplast rps16 gene intron, specimen voucher Dessein 367 (BR)	Otiophora caerulea			Dessein 367 (BR)					387024		367		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	367	BR6202005398005	http://www.wikidata.org/entity/Q15482450	Otiophora caerulea	1840901603	Otiophora caerulea (Hiern) Bullock	ZM	Dessein S.	2004-02-13T00:00:00	BR	PRESERVED_SPECIMEN
AM266834			Otiophora multicaulis chloroplast rps16 gene intron, specimen voucher Dessein 405 (BR)	Otiophora multicaulis			Dessein 405 (BR)					387027		405		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	405	BR6202005425008	http://www.wikidata.org/entity/Q15483620	Otiophora multicaulis	1840901620	Otiophora multicaulis Verdc.	ZM	Dessein S.	2004-02-15T00:00:00	BR	PRESERVED_SPECIMEN
AM266834			Otiophora multicaulis chloroplast rps16 gene intron, specimen voucher Dessein 405 (BR)	Otiophora multicaulis			Dessein 405 (BR)					387027		405		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	405	BR0000005096763	http://www.wikidata.org/entity/Q15483620	Otiophora multicaulis	1839373196	Otiophora multicaulis Verdc.	ZM	Dessein S.	2004-02-15T00:00:00	BR	PRESERVED_SPECIMEN
AM266854			Pentanisia confertifolia chloroplast rps16 gene intron, specimen voucher Dessein 730 (BR)	Pentanisia confertifolia			Dessein 730 (BR)					387043		730		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	730	BR6202005329009	http://www.wikidata.org/entity/Q15486646	Pentanisia confertifolia	1840901643	Pentanisia confertifolia (Baker) Verdc.	ZM	Dessein S.	2004-03-23T00:00:00	BR	PRESERVED_SPECIMEN
AM266854			Pentanisia confertifolia chloroplast rps16 gene intron, specimen voucher Dessein 730 (BR)	Pentanisia confertifolia			Dessein 730 (BR)					387043		730		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	730	BR0000005809080	http://www.wikidata.org/entity/Q15486646	Pentanisia confertifolia	1839424607	Pentanisia confertifolia (Baker) Verdc.	ZM	Dessein S.	2004-03-23T00:00:00	BR	PRESERVED_SPECIMEN
AM266914			Knoxia manika chloroplast trnT-L-F region, specimen voucher Schaijes 3339 (BR)	Knoxia manika			Schaijes 3339 (BR)					387019		3339		SCHAM	Schaijes	Schaijes M.	https://viaf.org/viaf/216197654/	3339	BR0000008672186	http://www.wikidata.org/entity/Q15472794	Knoxia manika	1839510581	Knoxia manika (Verdc.) Puff & Robbr.	CD	Schaijes M.	1987-02-22T00:00:00	BR	PRESERVED_SPECIMEN
AM266918			Otiophora angustifolia chloroplast trnT-L-F region, specimen voucher Dessein 607 (BR)	Otiophora angustifolia			Dessein 607 (BR)					387023		607		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	607	BR0000005089819	http://www.wikidata.org/entity/Q15482196	Otiophora angustifolia	1839372809	Otiophora angustifolia Verdc.	ZM	Dessein S.	2004-03-18T00:00:00	BR	PRESERVED_SPECIMEN
AM266919			Otiophora caerulea chloroplast trnT-L-F region, specimen voucher Dessein 367 (BR)	Otiophora caerulea			Dessein 367 (BR)					387024		367		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	367	BR0000005805006	http://www.wikidata.org/entity/Q15482450	Otiophora caerulea	1839424079	Otiophora caerulea (Hiern) Bullock	ZM	Dessein S.	2004-02-13T00:00:00	BR	PRESERVED_SPECIMEN
AM266919			Otiophora caerulea chloroplast trnT-L-F region, specimen voucher Dessein 367 (BR)	Otiophora caerulea			Dessein 367 (BR)					387024		367		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	367	BR6202005398005	http://www.wikidata.org/entity/Q15482450	Otiophora caerulea	1840901603	Otiophora caerulea (Hiern) Bullock	ZM	Dessein S.	2004-02-13T00:00:00	BR	PRESERVED_SPECIMEN
AM266923			Otiophora multicaulis chloroplast trnT-L-F region, specimen voucher Dessein 405 (BR)	Otiophora multicaulis			Dessein 405 (BR)					387027		405		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	405	BR6202005425008	http://www.wikidata.org/entity/Q15483620	Otiophora multicaulis	1840901620	Otiophora multicaulis Verdc.	ZM	Dessein S.	2004-02-15T00:00:00	BR	PRESERVED_SPECIMEN
AM266923			Otiophora multicaulis chloroplast trnT-L-F region, specimen voucher Dessein 405 (BR)	Otiophora multicaulis			Dessein 405 (BR)					387027		405		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	405	BR0000005096763	http://www.wikidata.org/entity/Q15483620	Otiophora multicaulis	1839373196	Otiophora multicaulis Verdc.	ZM	Dessein S.	2004-02-15T00:00:00	BR	PRESERVED_SPECIMEN
AM266942			Pentanisia confertifolia chloroplast trnT-L-F region, specimen voucher Dessein 730 (BR)	Pentanisia confertifolia			Dessein 730 (BR)					387043		730		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	730	BR6202005329009	http://www.wikidata.org/entity/Q15486646	Pentanisia confertifolia	1840901643	Pentanisia confertifolia (Baker) Verdc.	ZM	Dessein S.	2004-03-23T00:00:00	BR	PRESERVED_SPECIMEN
AM266942			Pentanisia confertifolia chloroplast trnT-L-F region, specimen voucher Dessein 730 (BR)	Pentanisia confertifolia			Dessein 730 (BR)					387043		730		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	730	BR0000005809080	http://www.wikidata.org/entity/Q15486646	Pentanisia confertifolia	1839424607	Pentanisia confertifolia (Baker) Verdc.	ZM	Dessein S.	2004-03-23T00:00:00	BR	PRESERVED_SPECIMEN
AM266952			Pentas arvensis chloroplast trnT-L region, specimen voucher Leeuwenberg 7639 (BR)	Pentas arvensis			Leeuwenberg 7639 (BR)					387049		7639		LSHCH|L026|LEEUA|LEEE	Lee|Le|Leeuwenberg|Lee	Lee S.C.|Le Gal.|Leeuwenberg A.J.M.|Lee Edward	||https://viaf.org/viaf/36006395/|	7639	BR0000019617275	http://www.wikidata.org/entity/Q15487309	Pentas arvensis	1840415258	Pentas arvensis Hiern	CM	Leeuwenberg A.J.M.	1966-01-31T00:00:00	BR	PRESERVED_SPECIMEN
AM267001			Knoxia manika 5.8S rRNA gene, ITS1 and ITS2, specimen voucher Schaijes 3339 (BR)	Knoxia manika			Schaijes 3339 (BR)					387019		3339		SCHAM	Schaijes	Schaijes M.	https://viaf.org/viaf/216197654/	3339	BR0000008672186	http://www.wikidata.org/entity/Q15472794	Knoxia manika	1839510581	Knoxia manika (Verdc.) Puff & Robbr.	CD	Schaijes M.	1987-02-22T00:00:00	BR	PRESERVED_SPECIMEN
AM267005			Otiophora angustifolia 5.8S rRNA gene, ITS1 and ITS2, specimen voucher Dessein 607 (BR)	Otiophora angustifolia			Dessein 607 (BR)					387023		607		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	607	BR0000005089819	http://www.wikidata.org/entity/Q15482196	Otiophora angustifolia	1839372809	Otiophora angustifolia Verdc.	ZM	Dessein S.	2004-03-18T00:00:00	BR	PRESERVED_SPECIMEN
AM267006			Otiophora caerulea 5.8S rRNA gene, ITS1 and ITS2, specimen voucher Dessein 367 (BR)	Otiophora caerulea			Dessein 367 (BR)					387024		367		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	367	BR0000005805006	http://www.wikidata.org/entity/Q15482450	Otiophora caerulea	1839424079	Otiophora caerulea (Hiern) Bullock	ZM	Dessein S.	2004-02-13T00:00:00	BR	PRESERVED_SPECIMEN
AM267006			Otiophora caerulea 5.8S rRNA gene, ITS1 and ITS2, specimen voucher Dessein 367 (BR)	Otiophora caerulea			Dessein 367 (BR)					387024		367		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	367	BR6202005398005	http://www.wikidata.org/entity/Q15482450	Otiophora caerulea	1840901603	Otiophora caerulea (Hiern) Bullock	ZM	Dessein S.	2004-02-13T00:00:00	BR	PRESERVED_SPECIMEN
AM267010			Otiophora multicaulis 5.8S rRNA gene, ITS1 and ITS2, specimen voucher Dessein 405 (BR)	Otiophora multicaulis			Dessein 405 (BR)					387027		405		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	405	BR6202005425008	http://www.wikidata.org/entity/Q15483620	Otiophora multicaulis	1840901620	Otiophora multicaulis Verdc.	ZM	Dessein S.	2004-02-15T00:00:00	BR	PRESERVED_SPECIMEN
AM267010			Otiophora multicaulis 5.8S rRNA gene, ITS1 and ITS2, specimen voucher Dessein 405 (BR)	Otiophora multicaulis			Dessein 405 (BR)					387027		405		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	405	BR0000005096763	http://www.wikidata.org/entity/Q15483620	Otiophora multicaulis	1839373196	Otiophora multicaulis Verdc.	ZM	Dessein S.	2004-02-15T00:00:00	BR	PRESERVED_SPECIMEN
AM267027			Pentanisia confertifolia 5.8S rRNA gene, ITS1 and ITS2, specimen voucher Dessein 730 (BR)	Pentanisia confertifolia			Dessein 730 (BR)					387043		730		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	730	BR6202005329009	http://www.wikidata.org/entity/Q15486646	Pentanisia confertifolia	1840901643	Pentanisia confertifolia (Baker) Verdc.	ZM	Dessein S.	2004-03-23T00:00:00	BR	PRESERVED_SPECIMEN
AM267027			Pentanisia confertifolia 5.8S rRNA gene, ITS1 and ITS2, specimen voucher Dessein 730 (BR)	Pentanisia confertifolia			Dessein 730 (BR)					387043		730		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	730	BR0000005809080	http://www.wikidata.org/entity/Q15486646	Pentanisia confertifolia	1839424607	Pentanisia confertifolia (Baker) Verdc.	ZM	Dessein S.	2004-03-23T00:00:00	BR	PRESERVED_SPECIMEN
AM267037			Pentas arvensis 5.8S rRNA gene, ITS1 and ITS2, specimen voucher Leeuwenberg 7639 (BR)	Pentas arvensis			Leeuwenberg 7639 (BR)					387049		7639		LSHCH|L026|LEEUA|LEEE	Lee|Le|Leeuwenberg|Lee	Lee S.C.|Le Gal.|Leeuwenberg A.J.M.|Lee Edward	||https://viaf.org/viaf/36006395/|	7639	BR0000019617275	http://www.wikidata.org/entity/Q15487309	Pentas arvensis	1840415258	Pentas arvensis Hiern	CM	Leeuwenberg A.J.M.	1966-01-31T00:00:00	BR	PRESERVED_SPECIMEN
AM409023	Democratic Republic of the Congo		Sabicea gilletii ITS1, 5.8S rRNA gene and ITS2, specimen voucher Lejoly 82/903 (BR)	Sabicea gilletii			Lejoly 82/903 (BR)					409400		82/903		LEJOJ|L026	Lejoly|Le	Lejoly J.|Le Gal.	https://viaf.org/viaf/284547667/|	82903	BR0000013943226	http://www.wikidata.org/entity/Q15444876	Sabicea gilletii	2243157005	Sabicea gilletii De Wild.	CD	Lejoly J.	1982-12-09T00:00:00	BR	PRESERVED_SPECIMEN
AM409058	Democratic Republic of the Congo		Stipularia elliptica ITS1, 5.8S rRNA gene and ITS2, specimen voucher Lisowski 56663 (BR)	Sabicea elliptica			Lisowski 56663 (BR)					339330		56663		LIYU1|LISOS	Li|Lisowski	Li Y.|Lisowski S.	|https://viaf.org/viaf/117068602/	56663	BR0000013942526	http://www.wikidata.org/entity/Q50996244	Sabicea elliptica	2243157001	Sabicea elliptica (Schweinf. ex Hiern) Hepper	CD	Lisowski S.	1980-01-03T00:00:00	BR	PRESERVED_SPECIMEN
AM409154	Democratic Republic of the Congo		Sabicea gilletii chloroplast partial trnT-trnL intergenic spacer, tRNA-Leu gene, trnL-trnF intergenic spacer, specimen voucher Lejoly 82/903 (BR)	Sabicea gilletii			Lejoly 82/903 (BR)					409400		82/903		LEJOJ|L026	Lejoly|Le	Lejoly J.|Le Gal.	https://viaf.org/viaf/284547667/|	82903	BR0000013943226	http://www.wikidata.org/entity/Q15444876	Sabicea gilletii	2243157005	Sabicea gilletii De Wild.	CD	Lejoly J.	1982-12-09T00:00:00	BR	PRESERVED_SPECIMEN
AM409169	Democratic Republic of the Congo		Stipularia elliptica chloroplast partial trnT-trnL intergenic spacer, tRNA-Leu gene, trnL-trnF intergenic spacer, specimen voucher Lisowski 56663 (BR)	Sabicea elliptica			Lisowski 56663 (BR)					339330		56663		LIYU1|LISOS	Li|Lisowski	Li Y.|Lisowski S.	|https://viaf.org/viaf/117068602/	56663	BR0000013942526	http://www.wikidata.org/entity/Q50996244	Sabicea elliptica	2243157001	Sabicea elliptica (Schweinf. ex Hiern) Hepper	CD	Lisowski S.	1980-01-03T00:00:00	BR	PRESERVED_SPECIMEN
AM932933			Diodella teres partial ETS, specimen voucher De Block et al. 793 (BR)	Diodella teres			De Block et al. 793 (BR)					497229		793		PDB	De Block	De Block P.	https://orcid.org/0000-0001-7210-7868	793	BR6102012571586	http://www.wikidata.org/entity/Q5279093	Diodella teres	1840896300	Diodella teres (Walter) Small	MG	De Block P.	1999-02-11T00:00:00	BR	PRESERVED_SPECIMEN
AM932959			Kohautia coccinea partial ETS, specimen voucher Dessein et al. 751 (BR)	Kohautia coccinea			Dessein et al. 751 (BR)					497248		751		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	751	BR0000005808908	http://www.wikidata.org/entity/Q15468507	Kohautia coccinea	1839424519	Kohautia coccinea Royle	ZM	Dessein S.	2004-03-24T00:00:00	BR	PRESERVED_SPECIMEN
AM932960			Kohautia cynanchica partial ETS, specimen voucher Dessein et al. 469 (BR)	Kohautia cynanchica			Dessein et al. 469 (BR)					497249		469		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	469	BR0000005808168	http://www.wikidata.org/entity/Q15468802	Kohautia cynanchica	1839424376	Kohautia cynanchica DC.	ZA	Dessein S.	2004-03-08T00:00:00	BR	PRESERVED_SPECIMEN
AM932968			Manostachya ternifolia partial ETS, specimen voucher Dessein et al. 265 (BR)	Manostachya ternifolia			Dessein et al. 265 (BR)					257029		265		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	265	BR0000005808182	http://www.wikidata.org/entity/Q15473233	Manostachya ternifolia	1839424418	Manostachya ternifolia E.Sampaio Martins	ZM	Dessein S.	2004-02-06T00:00:00	BR	PRESERVED_SPECIMEN
AM932983			Oldenlandia fastigiata partial ETS, specimen voucher Dessein et al. 1019 (BR)	Oldenlandia fastigiata			Dessein et al. 1019 (BR)					497264		1019		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	1019	BR0000005811656	http://www.wikidata.org/entity/Q15478707	Oldenlandia fastigiata	1839424830	Oldenlandia fastigiata Bremek.	ZM	Dessein S.	2004-04-16T00:00:00	BR	PRESERVED_SPECIMEN
AM932994			Oldenlandia nematocaulis partial ETS, specimen voucher Dessein et al. 924 (BR)	Oldenlandia nematocaulis			Dessein et al. 924 (BR)					497269		924		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	924	BR0000005810703	http://www.wikidata.org/entity/Q15479247	Oldenlandia nematocaulis	1839424766	Oldenlandia nematocaulis Bremek.	ZM	Dessein S.	2004-04-12T00:00:00	BR	PRESERVED_SPECIMEN
AM933003			Pentodon pentandrus partial ETS, specimen voucher Dessein et al. 598 (BR)	Pentodon pentandrus			Dessein et al. 598 (BR)					43549		598		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	598	BR0000005092208	http://www.wikidata.org/entity/Q15487122	Pentodon pentandrus	1839372956	Pentodon pentandrus Vatke	ZM	Dessein S.	2004-03-17T00:00:00	BR	PRESERVED_SPECIMEN
AM939443			Diodella teres ITS1, 5.8S rRNA gene and ITS2, specimen voucher De Block et al. 793 (BR)	Diodella teres			De Block et al. 793 (BR)					497229		793		PDB	De Block	De Block P.	https://orcid.org/0000-0001-7210-7868	793	BR6102012571586	http://www.wikidata.org/entity/Q5279093	Diodella teres	1840896300	Diodella teres (Walter) Small	MG	De Block P.	1999-02-11T00:00:00	BR	PRESERVED_SPECIMEN
AM939461			Hedythyrsus spermacocinus ITS1, 5.8S rRNA gene and ITS2, specimen voucher Dessein et al. 1017 (BR)	Hedythyrsus spermacocinus			Dessein et al. 1017 (BR)					497241		1017		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	1017	BR0000005810871	http://www.wikidata.org/entity/Q15464030	Hedythyrsus spermacocinus	1839424689	Hedythyrsus spermacocinus (K.Schum.) Bremek.	ZM	Dessein S.	2004-04-15T00:00:00	BR	PRESERVED_SPECIMEN
AM939476			Kohautia coccinea ITS1, 5.8S rRNA gene and ITS2, specimen voucher Dessein et al. 751 (BR)	Kohautia coccinea			Dessein et al. 751 (BR)					497248		751		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	751	BR0000005808908	http://www.wikidata.org/entity/Q15468507	Kohautia coccinea	1839424519	Kohautia coccinea Royle	ZM	Dessein S.	2004-03-24T00:00:00	BR	PRESERVED_SPECIMEN
AM939477			Kohautia cynanchica ITS1, 5.8S rRNA gene and ITS2, specimen voucher Dessein et al. 469 (BR)	Kohautia cynanchica			Dessein et al. 469 (BR)					497249		469		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	469	BR0000005808168	http://www.wikidata.org/entity/Q15468802	Kohautia cynanchica	1839424376	Kohautia cynanchica DC.	ZA	Dessein S.	2004-03-08T00:00:00	BR	PRESERVED_SPECIMEN
AM939506			Oldenlandia fastigiata ITS1, 5.8S rRNA gene and ITS2, specimen voucher Dessein et al. 1019 (BR)	Oldenlandia fastigiata			Dessein et al. 1019 (BR)					497264		1019		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	1019	BR0000005811656	http://www.wikidata.org/entity/Q15478707	Oldenlandia fastigiata	1839424830	Oldenlandia fastigiata Bremek.	ZM	Dessein S.	2004-04-16T00:00:00	BR	PRESERVED_SPECIMEN
AM939508			Oldenlandia geophila ITS1, 5.8S rRNA gene and ITS2, specimen voucher Dessein et al. 935 (BR)	Oldenlandia geophila			Dessein et al. 935 (BR)					499963		935		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	935	BR0000005810055	http://www.wikidata.org/entity/Q15478171	Oldenlandia geophila	1839424732	Oldenlandia geophila Bremek.	ZM	Dessein S.	2004-04-13T00:00:00	BR	PRESERVED_SPECIMEN
AM939517			Oldenlandia nematocaulis ITS1, 5.8S rRNA gene and ITS2, specimen voucher Dessein et al. 924 (BR)	Oldenlandia nematocaulis			Dessein et al. 924 (BR)					497269		924		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	924	BR0000005810703	http://www.wikidata.org/entity/Q15479247	Oldenlandia nematocaulis	1839424766	Oldenlandia nematocaulis Bremek.	ZM	Dessein S.	2004-04-12T00:00:00	BR	PRESERVED_SPECIMEN
AM939528			Pentodon pentandrus ITS1, 5.8S rRNA gene and ITS2, specimen voucher Dessein et al. 598 (BR)	Pentodon pentandrus			Dessein et al. 598 (BR)					43549		598		D173	Dessein	Dessein S.	https://orcid.org/0000-0002-3179-4005	598	BR0000005092208	http://www.wikidata.org/entity/Q15487122	Pentodon pentandrus	1839372956	Pentodon pentandrus Vatke	ZM	Dessein S.	2004-03-17T00:00:00	BR	PRESERVED_SPECIMEN
AY764291			Gomphocalyx herniarioides ribosomal protein S16 (rps16) gene, intron; chloroplast.	Gomphocalyx herniarioides			De Block et al. 569 (BR)					298688		569		PDB	De Block	De Block P.	https://orcid.org/0000-0001-7210-7868	569	BR0000006813826	http://www.wikidata.org/entity/Q15457600	Gomphocalyx herniarioides	1839467932	Gomphocalyx herniarioides Baker	MG	De Block P.	1999-01-07T00:00:00	BR	PRESERVED_SPECIMEN
DQ016511			Aristolochia heppii tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; chloroplast.	Aristolochia heppii			F. Malaisse 13701a (BR)					328420		13701a		MALAF	Malaisse	Malaisse F.	https://orcid.org/0000-0002-4930-1344	13701	BR0000014698613	http://www.wikidata.org/entity/Q15465147	Aristolochia heppii	1839975597	Aristolochia heppii Merxm.	CD	Malaisse F.	1985-11-28T00:00:00	BR	PRESERVED_SPECIMEN
DQ016512			Aristolochia hockii tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; chloroplast.	Aristolochia hockii			M.G. Bingham 6860 (BR)					328421		6860		BINGM	Bingham	Bingham M.G.	https://viaf.org/viaf/60673610/	6860	BR0000014698446	http://www.wikidata.org/entity/Q15466262	Aristolochia hockii	1839975243	Aristolochia hockii De Wild.	ZM	Bingham M.G.		BR	MACHINE_OBSERVATION
DQ131695	Senegal		Anthocleista nobilis ATP synthase beta subunit (atpB) gene, partial cds; atpB-rbcL intergenic spacer, complete sequence; and ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast.	Anthocleista nobilis			Bamps 7803 (BR)					339334		7803		BA1|BAMPP|B058	Ba|Bamps|Bamps	Ba P.|Bamps P.|Bamps C.	|https://viaf.org/viaf/41836216/|https://viaf.org/viaf/306154350/	7803	BR0000019000817	http://www.wikidata.org/entity/Q15606918	Anthocleista nobilis	1840364065	Anthocleista nobilis G.Don		Bamps P.		BR	PRESERVED_SPECIMEN
DQ131695	Senegal		Anthocleista nobilis ATP synthase beta subunit (atpB) gene, partial cds; atpB-rbcL intergenic spacer, complete sequence; and ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast.	Anthocleista nobilis			Bamps 7803 (BR)					339334		7803		BA1|BAMPP|B058	Ba|Bamps|Bamps	Ba P.|Bamps P.|Bamps C.	|https://viaf.org/viaf/41836216/|https://viaf.org/viaf/306154350/	7803	BR0000019000800	http://www.wikidata.org/entity/Q15606918	Anthocleista nobilis	1840364036	Anthocleista nobilis G.Don	SN	Bamps P.	1984-11-27T00:00:00	BR	PRESERVED_SPECIMEN
