accession	country	location	description	scientific_name	bio_material	culture_collection	specimen_voucher	sample_accession	study_accession	collected_by	collection_date
AM982771	Tanzania	""	Virectaria major subsp. major chloroplast partial rpoC1 gene for RNA polymerase subunit C1, exon 1, specimen voucher BR:Kayombo 1842	Virectaria major subsp. major	""	""	BR:Kayombo 1842	""	""	""	""
AM982774	Republic of the Congo	""	Virectaria multiflora chloroplast partial rpoC1 gene for RNA polymerase subunit C1, exon 1, specimen voucher BR:Champluvier S109	Virectaria multiflora	""	""	BR:Champluvier S109	""	""	""	""
AM992529	Mexico:Durango	""	Phaseolus hintonii bbi gene for double-headed trypsin inhibitor, clone phin1	Phaseolus hintonii	""	""	BR:NI716	""	""	""	""
AM992530	Mexico:Zacatecas	""	Phaseolus grayanus bbi gene for double-headed trypsin inhibitor, clone pgra6	Phaseolus grayanus	""	""	BR:NI724	""	""	""	""
AM992531	Mexico:Zacatecas	""	Phaseolus grayanus bbi gene for double-headed trypsin inhibitor, clone pgra30	Phaseolus grayanus	""	""	BR:NI724	""	""	""	""
AM992532	Mexico:San Luis Potosi	""	Phaseolus zimapanensis bbi gene for double-headed trypsin inhibitor, clone pzim10	Phaseolus zimapanensis	""	""	BR:NI1600	""	""	""	""
AM992533	Mexico:San Luis Potosi	""	Phaseolus zimapanensis bbi gene for double-headed trypsin inhibitor, clone pzim30	Phaseolus zimapanensis	""	""	BR:NI1600	""	""	""	""
AM993161	Rwanda	""	Phaseolus coccineus subsp. coccineus bbi gene for double-headed trypsin inhibitor, clone Pcoc19	Phaseolus coccineus subsp. coccineus	""	""	BR:NI16	""	""	""	""
AM993162	Colombia	""	Phaseolus polyanthus bbi gene for double-headed trypsin inhibitor, clone Ppol8	Phaseolus coccineus subsp. polyanthus	""	""	BR:NI553	""	""	""	""
AM993163	Colombia	""	Phaseolus polyanthus bbi gene for double-headed trypsin inhibitor, clone Ppol25	Phaseolus coccineus subsp. polyanthus	""	""	BR:NI553	""	""	""	""
AM993164	Colombia	""	Phaseolus polyanthus bbi gene for double-headed trypsin inhibitor, clone Ppol30	Phaseolus coccineus subsp. polyanthus	""	""	BR:NI553	""	""	""	""
AM999343	Zambia	""	Sericanthe andongensis plastid partial accD gene for acetyl-CoA carboxylase beta subunit, specimen voucher BR Dessein 1097, exon 1	Sericanthe andongensis	""	""	BR:Dessein:1097	""	""	Steven Dessein	""
AM999346	Tanzania	""	Tricalysia acidophylla plastid partial accD gene for acetyl-CoA carboxylase beta subunit, specimen voucher BR Kindekat 122, exon 1	Empogona acidophylla	""	""	BR:Kindekat:122	""	""	""	""
AM999347	Zambia	""	Tricalysia acidophylla plastid partial accD gene for acetyl-CoA carboxylase beta subunit, specimen voucher BR Dessein 1212, exon 1	Empogona acidophylla	""	""	BR:Dessein:1212	""	""	""	""
AM999349	Madagascar	""	Tricalysia ambrensis plastid partial accD gene for acetyl-CoA carboxylase beta subunit, specimen voucher BR De Block 1313, exon 1	Tricalysia ambrensis	""	""	BR:De Block:131	""	""	""	""
AM999350	Madagascar	""	Tricalysia analamazaotrensis plastid partial accD gene for acetyl-CoA carboxylase beta subunit, specimen voucher BR Tosh 11, exon 1	Tricalysia analamazaotrensis	""	""	BR:Tosh:11	""	""	""	""
AM999351	Madagascar	""	Tricalysia analamazaotrensis plastid partial accD gene for acetyl-CoA carboxylase beta subunit, specimen voucher BR De Block 1874, exon 1	Tricalysia analamazaotrensis	""	""	BR:De Block:187	""	""	""	""
AM999354	Madagascar	""	Tricalysia bridsoniana plastid partial accD gene for acetyl-CoA carboxylase beta subunit, specimen voucher BR De Block 389, exon 1	Tricalysia bridsoniana	""	""	BR:De Block:389	""	""	""	""
AM999355	Zambia	""	Tricalysia cacondensis plastid partial accD gene for acetyl-CoA carboxylase beta subunit, specimen voucher BR Dessein 1031, exon 1	Empogona cacondensis	""	""	BR:Dessein:1031	""	""	""	""
AM999356	Gabon	""	Tricalysia concolor plastid partial accD gene for acetyl-CoA carboxylase beta subunit, specimen voucher BR Degreef 95, exon 1	Empogona concolor	""	""	BR:Degreef:95	""	""	""	""
AM999357	Zambia	""	Tricalysia coriacea plastid partial accD gene for acetyl-CoA carboxylase beta subunit, specimen voucher BR Dessein 1359, exon 1	Empogona coriacea	""	""	BR:Dessein:1359	""	""	""	""
AM999358	Zambia	""	Tricalysia coriacea plastid partial accD gene for acetyl-CoA carboxylase beta subunit, specimen voucher BR Dessein 1283, exon 1	Empogona coriacea	""	""	BR:Dessein:1283	""	""	""	""
AM999359	Madagascar	""	Tricalysia cryptocalyx plastid partial accD gene for acetyl-CoA carboxylase beta subunit, specimen voucher BR De Block 527, exon 1	Tricalysia cryptocalyx	""	""	BR:De Block:527	""	""	""	""
AM999360	Madagascar	""	Tricalysia cryptocalyx plastid partial accD gene for acetyl-CoA carboxylase beta subunit, specimen voucher BR Tosh 322, exon 1	Tricalysia cryptocalyx	""	""	BR:Tosh:322	""	""	""	""
AM999361	Madagascar	""	Tricalysia dauphinensis plastid partial accD gene for acetyl-CoA carboxylase beta subunit, specimen voucher BR De Block 694, exon 1	Tricalysia dauphinensis	""	""	BR:De Block:694	""	""	""	""
AM999362	Madagascar	""	Tricalysia dauphinensis plastid partial accD gene for acetyl-CoA carboxylase beta subunit, specimen voucher BR Tosh 349a, exon 1	Tricalysia dauphinensis	""	""	BR:Tosh:349a	""	""	""	""
AM999363	Madagascar	""	Tricalysia dauphinensis plastid partial accD gene for acetyl-CoA carboxylase beta subunit, specimen voucher BR Rabevohitra 2115, exon 1	Tricalysia dauphinensis	""	""	BR:Rabevohitra:2115	""	""	""	""
AM999365	Equatorial Guinea	""	Tricalysia gossweileri plastid partial accD gene for acetyl-CoA carboxylase beta subunit, specimen voucher BR Senterre 4041, exon 1	Empogona gossweileri	""	""	BR:Senterre:4041	""	""	""	""
AM999366	Zambia	""	Tricalysia griseiflora plastid partial accD gene for acetyl-CoA carboxylase beta subunit, specimen voucher BR Dessein 305, exon 1	Tricalysia griseiflora	""	""	BR:Dessein:305	""	""	""	""
AM999367	Zambia	""	Tricalysia griseiflora plastid partial accD gene for acetyl-CoA carboxylase beta subunit, specimen voucher BR Dessein 1044, exon 1	Tricalysia griseiflora	""	""	BR:Dessein:1044	""	""	""	""
AM999373	Kenya	""	Tricalysia microphylla plastid partial accD gene for acetyl-CoA carboxylase beta subunit, specimen voucher BR De Block 405, exon 1	Tricalysia microphylla	""	""	BR:De Block:405	""	""	""	""
AM999376	Madagascar	""	Tricalysia ovalifolia plastid partial accD gene for acetyl-CoA carboxylase beta subunit, specimen voucher BR De Block 1090, exon 1	Empogona ovalifolia	""	""	BR:De Block:1090	""	""	""	""
AM999378	Madagascar	""	Tricalysia ovalifolia plastid partial accD gene for acetyl-CoA carboxylase beta subunit, specimen voucher BR De Block 1072, exon 1	Empogona ovalifolia	""	""	BR:De Block:107	""	""	""	""
AM999383	Madagascar	""	Tricalysia perrieri plastid partial accD gene for acetyl-CoA carboxylase beta subunit, specimen voucher BR De Block 766, exon 1	Tricalysia perrieri	""	""	BR:De Block:766	""	""	""	""
AM999384	Tanzania	""	Tricalysia ruandensis plastid partial accD gene for acetyl-CoA carboxylase beta subunit, specimen voucher BR Kuchar 22323, exon 1	Empogona ruandensis	""	""	BR:Kuchar:22323	""	""	""	""
AM999394	Madagascar	""	Ixora guillotii plastid partial petB gene for cytochrome b6, IGS and petD gene for cytochrome b6/f complex subunit IV, specimen voucher BR Tosh 408b	Ixora guillotii	""	""	BR:Tosh:408b	""	""	""	""
AM999415	Zambia	""	Sericanthe andongensis plastid partial petB gene for cytochrome b6, IGS and petD gene for cytochrome b6/f complex subunit IV, specimen voucher BR Dessein 1097	Sericanthe andongensis	""	""	BR:Dessein:1097	""	""	""	""
AM999420	Tanzania	""	Tricalysia acidophylla plastid partial petB gene for cytochrome b6, IGS and petD gene for cytochrome b6/f complex subunit IV, specimen voucher BR Kindekat 122	Empogona acidophylla	""	""	BR:Kindekat:122	""	""	""	""
AM999421	Zambia	""	Tricalysia acocantheroides plastid partial petB gene for cytochrome b6, IGS and petD gene for cytochrome b6/f complex subunit IV, specimen voucher BR Dessein 1212	Tricalysia acocantheroides	""	""	BR:Dessein:1212	""	""	""	""
AM999422	Malawi	""	Tricalysia acocantheroides plastid partial petB gene for cytochrome b6, IGS and petD gene for cytochrome b6/f complex subunit IV, specimen voucher BR Brummit 320	Tricalysia acocantheroides	""	""	BR:Brummit:320	""	""	""	""
AM999423	Madagascar	""	Tricalysia ambrensis plastid partial petB gene for cytochrome b6, IGS and petD gene for cytochrome b6/f complex subunit IV, specimen voucher BR De Block 1313	Tricalysia ambrensis	""	""	BR:De Block:131	""	""	""	""
AM999424	Madagascar	""	Tricalysia analamazaotrensis plastid partial petB gene for cytochrome b6, IGS and petD gene for cytochrome b6/f complex subunit IV, specimen voucher BR Tosh 11	Tricalysia analamazaotrensis	""	""	BR:Tosh:11	""	""	""	""
AM999425	Madagascar	""	Tricalysia analamazaotrensis plastid partial petB gene for cytochrome b6, IGS and petD gene for cytochrome b6/f complex subunit IV, specimen voucher BR De Block 1874	Tricalysia analamazaotrensis	""	""	BR:De Block:187	""	""	""	""
AM999429	Kenya	""	Tricalysia bridsoniana plastid partial petB gene for cytochrome b6, IGS and petD gene for cytochrome b6/f complex subunit IV, specimen voucher BR De Block 389	Tricalysia bridsoniana	""	""	BR:De Block:389	""	""	""	""
AM999430	Zambia	""	Tricalysia cacondensis plastid partial petB gene for cytochrome b6, IGS and petD gene for cytochrome b6/f complex subunit IV, specimen voucher BR Dessein 1031	Empogona cacondensis	""	""	BR:Dessein:1031	""	""	""	""
AM999431	Gabon	""	Tricalysia concolor plastid partial petB gene for cytochrome b6, IGS and petD gene for cytochrome b6/f complex subunit IV, specimen voucher BR Degreef 95	Empogona concolor	""	""	BR:Degreef:95	""	""	""	""
AM999432	Zambia	""	Tricalysia coriacea plastid partial petB gene for cytochrome b6, IGS and petD gene for cytochrome b6/f complex subunit IV, specimen voucher BR Dessein 1359	Empogona coriacea	""	""	BR:Dessein:1359	""	""	""	""
AM999433	Zambia	""	Tricalysia coriacea plastid partial petB gene for cytochrome b6, IGS and petD gene for cytochrome b6/f complex subunit IV, specimen voucher BR Dessein 1283	Empogona coriacea	""	""	BR:Dessein:1283	""	""	""	""
AM999434	Madagascar	""	Tricalysia cryptocalyx plastid partial petB gene for cytochrome b6, IGS and petD gene for cytochrome b6/f complex subunit IV, specimen voucher BR De Block 527	Tricalysia cryptocalyx	""	""	BR:De Block:527	""	""	""	""
AM999435	Madagascar	""	Tricalysia cryptocalyx plastid partial petB gene for cytochrome b6, IGS and petD gene for cytochrome b6/f complex subunit IV, specimen voucher BR Tosh 322	Tricalysia cryptocalyx	""	""	BR:Tosh:322	""	""	""	""
AM999436	Madagascar	""	Tricalysia dauphinensis plastid partial petB gene for cytochrome b6, IGS and petD gene for cytochrome b6/f complex subunit IV, specimen voucher BR De Block 694	Tricalysia dauphinensis	""	""	BR:De Block:694	""	""	""	""
AM999437	Madagascar	""	Tricalysia dauphinensis plastid partial petB gene for cytochrome b6, IGS and petD gene for cytochrome b6/f complex subunit IV, specimen voucher BR Tosh 349a	Tricalysia dauphinensis	""	""	BR:Tosh:349a	""	""	""	""
AM999438	Madagascar	""	Tricalysia dauphinensis plastid partial petB gene for cytochrome b6, IGS and petD gene for cytochrome b6/f complex subunit IV, specimen voucher BR Rabevohitra 2115	Tricalysia dauphinensis	""	""	BR:Rabevohitra:2115	""	""	""	""
AM999440	Equatorial Guinea	""	Tricalysia gossweileri plastid partial petB gene for cytochrome b6, IGS and petD gene for cytochrome b6/f complex subunit IV, specimen voucher BR Senterre 4041	Empogona gossweileri	""	""	BR:Senterre:4041	""	""	""	""
AM999447	Madagascar	""	Tricalysia leucocarpa plastid partial petB gene for cytochrome b6, IGS and petD gene for cytochrome b6/f complex subunit IV, specimen voucher BR Tosh 398	Tricalysia leucocarpa	""	""	BR:Tosh:398	""	""	""	""
AM999448	Kenya	""	Tricalysia microphylla plastid partial petB gene for cytochrome b6, IGS and petD gene for cytochrome b6/f complex subunit IV, specimen voucher BR De Block 405	Tricalysia microphylla	""	""	BR:De Block:405	""	""	""	""
AM999455	Zambia	""	Tricalysia pallens plastid partial petB gene for cytochrome b6, IGS and petD gene for cytochrome b6/f complex subunit IV, specimen voucher BR Dessein 1266	Tricalysia pallens	""	""	BR:Dessein:1266	""	""	""	""
AM999456	Zambia	""	Tricalysia pallens plastid partial petB gene for cytochrome b6, IGS and petD gene for cytochrome b6/f complex subunit IV, specimen voucher BR Dessein 953	Tricalysia pallens	""	""	BR:Dessein:953	""	""	""	""
AM999457	Madagascar	""	Tricalysia perrieri plastid partial petB gene for cytochrome b6, IGS and petD gene for cytochrome b6/f complex subunit IV, specimen voucher BR De Block 766	Tricalysia perrieri	""	""	BR:De Block:766	""	""	""	""
AM999458	Tanzania	""	Tricalysia ruandensis plastid partial petB gene for cytochrome b6, IGS and petD gene for cytochrome b6/f complex subunit IV, specimen voucher BR Kuchar 22323	Empogona ruandensis	""	""	BR:Kuchar:22323	""	""	""	""
AM999461	Madagascar	""	Ixora guillotii plastid trnL gene (partial intron region), tRNA-Leu gene (partial), IGS and tRNA-Phe gene (partial), specimen voucher BR Tosh 408	Ixora guillotii	""	""	BR:Tosh:408	""	""	""	""
AM999473	Zambia	""	Sericanthe andongensis plastid trnL gene (partial intron region), tRNA-Leu gene (partial), IGS and tRNA-Phe gene (partial), specimen voucher BR Dessein 1097	Sericanthe andongensis	""	""	BR:Dessein:1097	""	""	""	""
AM999476	Zambia	""	Tricalysia acocantheroides plastid trnL gene (partial intron region), tRNA-Leu gene (partial), IGS and tRNA-Phe gene (partial), specimen voucher BR Dessein 1212	Tricalysia acocantheroides	""	""	BR:Dessein:1212	""	""	""	""
AM999477	Madagascar	""	Tricalysia ambrensis plastid trnL gene (partial intron region), tRNA-Leu gene (partial), IGS and tRNA-Phe gene (partial), specimen voucher BR De Block 1313	Tricalysia ambrensis	""	""	BR:De Block:1313	""	""	""	""
AM999478	Madagascar	""	Tricalysia analamazaotrensis plastid trnL gene (partial intron region), tRNA-Leu gene (partial), IGS and tRNA-Phe gene (partial), specimen voucher BR Tosh 11	Tricalysia analamazaotrensis	""	""	BR:Tosh:11	""	""	""	""
AM999481	Kenya	""	Tricalysia bridsoniana plastid trnL gene (partial intron region), tRNA-Leu gene (partial), IGS and tRNA-Phe gene (partial), specimen voucher BR De Block 389	Tricalysia bridsoniana	""	""	BR:De Block:389	""	""	""	""
AM999482	Zambia	""	Tricalysia cacondensis plastid trnL gene (partial intron region), tRNA-Leu gene (partial), IGS and tRNA-Phe gene (partial), specimen voucher BR Dessein 1031	Empogona cacondensis	""	""	BR:Dessein:1031	""	""	""	""
AM999483	Gabon	""	Tricalysia concolor plastid trnL gene (partial intron region), tRNA-Leu gene (partial), IGS and tRNA-Phe gene (partial), specimen voucher BR Degreef 95	Empogona concolor	""	""	BR:Degreef:95	""	""	""	""
AM999484	Zambia	""	Tricalysia coriacea plastid trnL gene (partial intron region), tRNA-Leu gene (partial), IGS and tRNA-Phe gene (partial), specimen voucher BR Dessein 1359	Empogona coriacea	""	""	BR:Dessein:1359	""	""	""	""
AM999485	Zambia	""	Tricalysia coriacea plastid trnL gene (partial intron region), tRNA-Leu gene (partial), IGS and tRNA-Phe gene (partial), specimen voucher BR Dessein 1283	Empogona coriacea	""	""	BR:Dessein:1283	""	""	""	""
AM999486	Madagascar	""	Tricalysia cryptocalyx plastid trnL gene (partial intron region), tRNA-Leu gene (partial), IGS and tRNA-Phe gene (partial), specimen voucher BR De Block 527	Tricalysia cryptocalyx	""	""	BR:De Block:527	""	""	""	""
AM999487	Madagascar	""	Tricalysia cryptocalyx plastid trnL gene (partial intron region), tRNA-Leu gene (partial), IGS and tRNA-Phe gene (partial), specimen voucher BR Tosh 322	Tricalysia cryptocalyx	""	""	BR:Tosh:322	""	""	""	""
AM999488	Madagascar	""	Tricalysia dauphinensis plastid trnL gene (partial intron region), tRNA-Leu gene (partial), IGS and tRNA-Phe gene (partial), specimen voucher BR De Block 694	Tricalysia dauphinensis	""	""	BR:De Block:694	""	""	""	""
AM999489	Madagascar	""	Tricalysia dauphinensis plastid trnL gene (partial intron region), tRNA-Leu gene (partial), IGS and tRNA-Phe gene (partial), specimen voucher BR Tosh 349	Tricalysia dauphinensis	""	""	BR:Tosh:349	""	""	""	""
AM999492	Equatorial Guinea	""	Tricalysia gossweileri plastid trnL gene (partial intron region), tRNA-Leu gene (partial), IGS and tRNA-Phe gene (partial), specimen voucher BR:Senterre 4041	Empogona gossweileri	""	""	BR:Senterre 4041	""	""	""	""
AM999493	Zambia	""	Tricalysia griseiflora plastid trnL gene (partial intron region), tRNA-Leu gene (partial), IGS and tRNA-Phe gene (partial), specimen voucher BR Dessein 305	Tricalysia griseiflora	""	""	BR:Dessein:305	""	""	""	""
AM999494	Zambia	""	Tricalysia griseiflora plastid trnL gene (partial intron region), tRNA-Leu gene (partial), IGS and tRNA-Phe gene (partial), specimen voucher BR Dessein 1044	Tricalysia griseiflora	""	""	BR:Dessein:1044	""	""	""	""
AM999499	Madagascar	""	Tricalysia leucocarpa plastid trnL gene (partial intron region), tRNA-Leu gene (partial), IGS and tRNA-Phe gene (partial), specimen voucher BR Tosh 398	Tricalysia leucocarpa	""	""	BR:Tosh:398	""	""	""	""
AM999500	Kenya	""	Tricalysia microphylla plastid trnL gene (partial intron region), tRNA-Leu gene (partial), IGS and tRNA-Phe gene (partial), specimen voucher BR De Block 405	Tricalysia microphylla	""	""	BR:De Block:405	""	""	""	""
AM999503	Madagascar	""	Tricalysia ovalifolia plastid trnL gene (partial intron region), tRNA-Leu gene (partial), IGS and tRNA-Phe gene (partial), specimen voucher K De Block 1090	Empogona ovalifolia	""	""	BR:De Block:109	""	""	""	""
AM999504	Madagascar	""	Tricalysia ovalifolia plastid trnL gene (partial intron region), tRNA-Leu gene (partial), IGS and tRNA-Phe gene (partial), specimen voucher K De Block 1072	Empogona ovalifolia	""	""	BR:De Block:107	""	""	""	""
AM999507	Madagascar	""	Tricalysia perrieri plastid trnL gene (partial intron region), tRNA-Leu gene (partial), IGS and tRNA-Phe gene (partial), specimen voucher BR De Block 766	Tricalysia perrieri	""	""	BR:De Block:766	""	""	""	""
AM999512	Tanzania	""	Tricalysia acidophylla plastid trnL gene (partial intron region), tRNA-Leu gene (partial) and IGS, specimen voucher BR kindekat 122	Empogona acidophylla	""	""	BR:kindekat:122	""	""	""	""
AM999514	Madagascar	""	Tricalysia analamazaotrensis plastid trnL gene (partial intron region), tRNA-Leu gene (partial) and IGS, specimen voucher BR De Block 1874	Tricalysia analamazaotrensis	""	""	BR:De Block:1874	""	""	""	""
AM999515	Zambia	""	Tricalysia pallens plastid trnL gene (partial intron region), tRNA-Leu gene (partial) and IGS, specimen voucher BR Dessein 1266	Tricalysia pallens	""	""	BR:Dessein:1266	""	""	""	""
AM999516	Zambia	""	Tricalysia pallens plastid trnL gene (partial intron region), tRNA-Leu gene (partial) and IGS, specimen voucher BR Dessein 953	Tricalysia pallens	""	""	BR:Dessein:953	""	""	""	""
AM999517	Tanzania	""	Tricalysia ruandensis plastid trnL gene (partial intron region), tRNA-Leu gene (partial) and IGS, specimen voucher BR Kuchar 22323	Empogona ruandensis	""	""	BR:Kuchar:22323	""	""	""	""
AM999518	Madagascar	""	Ixora guillotii chloroplast partial rpl16 gene for ribosomal protein L16, specimen voucher BR Tosh 408, exon 2	Ixora guillotii	""	""	BR:Tosh:408	""	""	""	""
AM999532	Zambia	""	Sericanthe andongensis chloroplast partial rpl16 gene for ribosomal protein L16, specimen voucher BR Dessein 1097, exon 2	Sericanthe andongensis	""	""	BR:Dessein:1097	""	""	""	""
AM999536	Tanzania	""	Tricalysia acidophylla chloroplast partial rpl16 gene for ribosomal protein L16, specimen voucher BR Kindekat 122, exon 2	Empogona acidophylla	""	""	BR:Kindekat:122	""	""	""	""
AM999537	Zambia	""	Tricalysia acocantheroides chloroplast partial rpl16 gene for ribosomal protein L16, specimen voucher BR Dessein 1212, exon 2	Tricalysia acocantheroides	""	""	BR:Dessein:1212	""	""	""	""
EU919280	Philippines:Marinduque, Torrijos	13.3699998855591 N 121.870002746582 E	Lampides boeticus voucher RMBR:102841 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial.	Lampides boeticus	""	""	RMBR:102841	""	""	""	1999-12-01
EU919283	Singapore:Kent Ridge, National University ofSingapore	1.27999997138977 N 103.769996643066 E	Lampides boeticus voucher RMBR:102833 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial.	Lampides boeticus	""	""	RMBR:102833	""	""	David J. Lohman	2006-10-18
EU919284	Indonesia:West Sumatra, Sungei Kasian, Sipisang	0.550000011920929 S 100.349998474121 E	Lampides boeticus voucher RMBR:102821 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial.	Lampides boeticus	""	""	RMBR:102821	""	""	David J. Lohman	2007-06-03
EU919285	Philippines:Oriental Mindoro, Pinamalayan	11.2799997329712 N 119.669998168945 E	Lampides boeticus voucher RMBR:102844 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial.	Lampides boeticus	""	""	RMBR:102844	""	""	""	1996-12-23
EU919286	Indonesia:Banka-Belitung, Belitung Island	2.82999992370605 S 107.919998168945 E	Lampides boeticus voucher RMBR:102824 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial.	Lampides boeticus	""	""	RMBR:102824	""	""	""	2006-03-01
EU919288	China:Jiangsu, Yixing	31.3299999237061 N 119.779998779297 E	Lampides boeticus voucher RMBR:102848 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial.	Lampides boeticus	""	""	RMBR:102848	""	""	""	2004-10-01
EU919289	China:Jiangsu, Yixing	31.3299999237061 N 119.779998779297 E	Lampides boeticus voucher RMBR:102849 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial.	Lampides boeticus	""	""	RMBR:102849	""	""	""	2004-10-01
EU919291	Philippines:Oriental Mindoro, Pinamalayan	11.2799997329712 N 119.669998168945 E	Lampides boeticus voucher RMBR:102843 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial.	Lampides boeticus	""	""	RMBR:102843	""	""	""	1996-12-23
EU919292	China:Sichuan, Ya'an	29.3299999237061 N 102.629997253418 E	Lampides boeticus voucher RMBR:102850 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial.	Lampides boeticus	""	""	RMBR:102850	""	""	""	2001-05-01
EU919293	China:Anhui, Chiling	30.0499992370605 N 117.569999694824 E	Lampides boeticus voucher RMBR:102847 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial.	Lampides boeticus	""	""	RMBR:102847	""	""	""	2002-08-19
EU919294	Indonesia:South East Sulawesi, Tomea Island	4.75 N 123.919998168945 E	Lampides boeticus voucher RMBR:102827 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial.	Lampides boeticus	""	""	RMBR:102827	""	""	""	""
