accession	country	location	description	scientific_name	bio_material	culture_collection	specimen_voucher	sample_accession	study_accession	collected_by	collection_date
AB698199	Brazil:Goias, Tributary of Rio Claro nearCaiaponia	""	Apinagia cf. riedelii TNS:BR-139 chloroplast matK gene for maturase K, complete cds.	Apinagia cf. riedelii TNS:BR-139	""	""	TNS:BR-139	""	""	""	""
AB698200	Brazil:Foz do Iguazu, waterfall near Iguazu	""	Apinagia yguazuensis chloroplast matK gene for maturase K, complete cds, specimen_voucher: TNS:BR-31.	Apinagia yguazuensis	""	""	TNS:BR-31	""	""	""	""
AB698201	Brazil:Mato Grosso, Rio Serragem II	""	Apinagia sp. TNS:BR-10 chloroplast matK gene for maturase K, complete cds.	Apinagia sp. TNS:BR-10	""	""	TNS:BR-10	""	""	""	""
AB698202	Brazil:Mato Grosso, Salto do Ceu	""	Apinagia sp. TNS:BR-23 chloroplast matK gene for maturase K, complete cds.	Apinagia sp. TNS:BR-23	""	""	TNS:BR-23	""	""	""	""
AB698203	Brazil:Goias, Rio Claro on BR060 near Jatai	""	Apinagia sp. TNS:BR-120 chloroplast matK gene for maturase K, complete cds.	Apinagia sp. TNS:BR-120	""	""	TNS:BR-120	""	""	""	""
AB698204	Brazil:Goias, Balneario Municipal Saltinho	""	Apinagia sp. TNS:BR-122 chloroplast matK gene for maturase K, complete cds.	Apinagia sp. TNS:BR-122	""	""	TNS:BR-122	""	""	""	""
AB698205	Brazil:Goias, Rio Baucinho, Costa Rica	""	Apinagia sp. TNS:BR-128 chloroplast matK gene for maturase K, complete cds.	Apinagia sp. TNS:BR-128	""	""	TNS:BR-128	""	""	""	""
AB698206	Brazil:Goias, Rio Baucinho, Costa Rica	""	Apinagia sp. TNS:BR-130 chloroplast matK gene for maturase K, complete cds.	Apinagia sp. TNS:BR-130	""	""	TNS:BR-130	""	""	""	""
AB698207	Brazil:Goias, Pantano waterfall near Caiaponia	""	Apinagia sp. TNS:BR-143 chloroplast matK gene for maturase K, complete cds.	Apinagia sp. TNS:BR-143	""	""	TNS:BR-143	""	""	""	""
AB698208	Brazil:Maranhao, Carolina, Esteito	""	Apinagia sp. TNS:BR-8002 chloroplast matK gene for maturase K, complete cds.	Apinagia sp. TNS:BR-8002	""	""	TNS:BR-8002	""	""	""	""
AB698214	Brazil:Minas Gerais, Caraca, Cascatinhawaterfall	""	Diamantina lombardii chloroplast matK gene for maturase K, complete cds, specimen_voucher: TNS:BR-101.	Diamantina lombardii	""	""	TNS:BR-101	""	""	""	""
AB698215	Brazil:Minas Gerais, Diamantina, Cristaiswaterfall	""	Diamantina lombardii chloroplast matK DNA, specimen_voucher: TNS:BR-114.	Diamantina lombardii	""	""	TNS:BR-114	""	""	""	""
AB698216	Brazil:Minas Gerais, Parque Natural do Caraca,Cascatinha waterfall	""	Diamantina lombardii chloroplast matK gene for maturase K, complete cds, specimen_voucher: TNS:BR-8006.	Diamantina lombardii	""	""	TNS:BR-8006	""	""	""	""
AB698338	Brazil:Mato Grosso, Salto Maciel	""	Monostylis capillacea chloroplast matK gene for maturase K, complete cds, specimen_voucher: TNS:BR-21.	Monostylis capillacea	""	""	TNS:BR-21	""	""	""	""
AB698339	Brazil:Mato Grosso, Salto Maciel	""	Mourera cf. aspera TNS:BR-17 chloroplast matK gene for maturase K, complete cds.	Mourera cf. aspera TNS:BR-17	""	""	TNS:BR-17	""	""	""	""
AB698345	Brazil:Mato Grosso, Salto Maciel	""	Mourera sp. TNS:BR-19B chloroplast matK gene for maturase K, complete cds.	Mourera sp. TNS:BR-19B	""	""	TNS:BR-19B	""	""	""	""
AB698349	Brazil:Sao Paulo, Brotas waterfall	""	Podostemum distichum chloroplast matK gene for maturase K, complete cds, specimen_voucher: TNS:BR-02.	Podostemum distichum	""	""	TNS:BR-02	""	""	""	""
AB698350	Brazil:Minas Gerais, Caldas, Pocinhos waterfall	""	Podostemum distichum chloroplast matK gene for maturase K, complete cds, specimen_voucher: TNS:BR-112.	Podostemum distichum	""	""	TNS:BR-112	""	""	""	""
AB698351	Brazil:Goias, Baucinho, Costa Rica	""	Podostemum distichum chloroplast matK gene for maturase K, complete cds, specimen_voucher: TNS:BR-127.	Podostemum distichum	""	""	TNS:BR-127	""	""	""	""
AB698352	Brazil:Foz do Iguacu, waterfall near Iguacuwaterfalls	""	Podostemum rutifolium subsp. rutifolium chloroplast matK gene for maturase K, complete cds, specimen_voucher: TNS:BR-30.	Podostemum rutifolium subsp. rutifolium	""	""	TNS:BR-30	""	""	""	""
AB698353	Brazil:Rio de Janeiro, Quebra Frasco	""	Podostemum saldanhanum chloroplast matK gene for maturase K, complete cds, specimen_voucher: TNS:BR-04.	Podostemum saldanhanum	""	""	TNS:BR-04	""	""	""	""
AB698354	Brazil:Rio de Janeiro, Rio Formoso	""	Podostemum saldanhanum chloroplast matK gene for maturase K, complete cds, specimen_voucher: TNS:BR-14.	Podostemum saldanhanum	""	""	TNS:BR-14	""	""	""	""
AB698355	Brazil:Goias, Rio Claro	""	Podostemum scaturiginum chloroplast matK gene for maturase K, complete cds, specimen_voucher: TNS:BR-117.	Podostemum scaturiginum	""	""	TNS:BR-117	""	""	""	""
AB698356	Brazil:Minas Gerais, Caldas, Pocinhos waterfall	""	Podostemum weddellianum chloroplast matK gene for maturase K, complete cds, specimen_voucher: TNS:BR-110A.	Podostemum weddellianum	""	""	TNS:BR-110A	""	""	""	""
AB698357	Brazil:Rio de Janeiro, en route from Petropolisto Teresopolis, Serra dos Orgaos	""	Podostemum cf. weddellianum TNS:BR-03 chloroplast matK gene for maturase K, complete cds.	Podostemum cf. weddellianum TNS:BR-03	""	""	TNS:BR-03	""	""	""	""
AB698358	Brazil:Rio de Janeiro, Rio Soberbo	""	Podostemum cf. weddellianum TNS:BR-08 chloroplast matK gene for maturase K, complete cds.	Podostemum cf. weddellianum TNS:BR-08	""	""	TNS:BR-08	""	""	""	""
AB698359	Brazil:Rio de Janeiro	""	Podostemum sp. TNS:BR-06B chloroplast matK gene for maturase K, complete cds.	Podostemum sp. TNS:BR-06B	""	""	TNS:BR-06B	""	""	""	""
AB698391	Brazil:Amazonas, San Gabriel da Cachoeira	""	Rhyncholacis cf. linearis TNS:BR-26 chloroplast matK gene for maturase K, complete cds.	Rhyncholacis cf. linearis TNS:BR-26	""	""	TNS:BR-26	""	""	""	""
AB698397	Brazil:Amazonas, Santa Barbara, Correheira	""	Rhyncholacis sp. TNS:BR-28 chloroplast matK gene for maturase K, complete cds.	Rhyncholacis sp. TNS:BR-28	""	""	TNS:BR-28	""	""	""	""
AB698417	Brazil:Goias, Rio Claro near Jatai	""	Wettsteiniola cf. pinnata TNS:BR-119 chloroplast matK gene for maturase K, complete cds.	Wettsteiniola cf. pinnata TNS:BR-119	""	""	TNS:BR-119	""	""	""	""
AB698433	Brazil:Mato Grosso, Salto Maciel	""	Podostemaceae sp. TNS:BR-20 chloroplast matK gene for maturase K, complete cds.	Podostemaceae sp. TNS:BR-20	""	""	TNS:BR-20	""	""	""	""
AB698434	Brazil:Amazonas, San Gabriel da Cachoeira	""	Podostemaceae sp. TNS:BR-27 chloroplast matK gene for maturase K, complete cds.	Podostemaceae sp. TNS:BR-27	""	""	TNS:BR-27	""	""	""	""
AB698435	Brazil:Minas Gerais, Caraca, Cascatona waterfall	""	Podostemaceae sp. TNS:BR-103 chloroplast matK DNA.	Podostemaceae sp. TNS:BR-103	""	""	TNS:BR-103	""	""	""	""
AB698436	Brazil:Para, Alenquer, Vale do Paraiso	""	Podostemaceae sp. TNS:BR-8001 chloroplast matK DNA.	Podostemaceae sp. TNS:BR-8001	""	""	TNS:BR-8001	""	""	""	""
AB698445	Brazil:Goias, Rio do Monte near Caiaponia, Serenowaterfall	""	Weddellina cf. squamulosa TNS:BR-144 chloroplast matK gene for maturase K, complete cds.	Weddellina cf. squamulosa TNS:BR-144	""	""	TNS:BR-144	""	""	""	""
AB983245	""	""	Coprinopsis rugosobispora genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 26S rRNA, partial and complete sequence, specimen_voucher: BR-44338-09.	Coprinopsis rugosobispora	""	""	BR-44338-09	""	""	""	""
AF214192	""	""	Duvaliandra dioscoridis trnL-trnF intergenic spacer; chloroplast gene for chloroplast product.	Duvaliandra dioscoridis	""	""	BR-93-0034-26 (BR), Potgieter DNA 509	""	""	""	""
AF214346	""	""	Duvaliandra dioscoridis trnL gene, partial intron sequence; chloroplast gene for chloroplast product.	Duvaliandra dioscoridis	""	""	BR-93-0034-26 (BR), Potgieter DNA 509	""	""	""	""
AY525346	USA:North Carolina, Asheville	""	Castanea dentata voucher BR-34, coll. Thomas L. Kubisiak Ycf9 (ycf9) gene, partial cds; ycf9-trnG intergenic spacer, complete sequence; and tRNA-Gly (trnG) gene, partial sequence; chloroplast.	Castanea dentata	""	""	BR-34, coll. Thomas L. Kubisiak	""	""	""	""
AY921098	Guyana:Roraima, N. slope, 850m elev. (05 17'N,060 45'W)	""	Percnostola saturata saturata voucher KU MBR-5959 ATP synthase F0 subunit 6 (ATP6) gene, partial cds; mitochondrial.	Myrmelastes saturatus saturatus	""	""	KU MBR-5959	""	""	""	""
AY921099	Guyana:Roraima, N. slope, 1300m elev. (05 16'N,060 44'W)	""	Percnostola saturata saturata voucher KU MBR-6033 ATP synthase F0 subunit 6 (ATP6) gene, partial cds; mitochondrial.	Myrmelastes saturatus saturatus	""	""	KU MBR-6033	""	""	""	""
AY921129	Guyana:Roraima, N. slope, 850m elev. (05 17'N,060 45'W)	""	Percnostola saturata saturata voucher KU MBR-5959 NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial.	Myrmelastes saturatus saturatus	""	""	KU MBR-5959	""	""	""	""
AY921130	Guyana:Roraima, N. slope, 1300m elev. (05 16'N,060 44'W)	""	Percnostola saturata saturata voucher KU MBR-6033 NADH dehydrogenase subunit 2 (ND2) gene, complete cds; mitochondrial.	Myrmelastes saturatus saturatus	""	""	KU MBR-6033	""	""	""	""
AY921160	Guyana:Roraima, N. slope, 850m elev. (05 17'N,060 45'W)	""	Percnostola saturata saturata voucher KU MBR-5959 NADH dehydrogenase subunit 3 (ND3) gene, partial cds; mitochondrial.	Myrmelastes saturatus saturatus	""	""	KU MBR-5959	""	""	""	""
AY921161	Guyana:Roraima, N. slope, 1300m elev. (05 16'N,060 44'W)	""	Percnostola saturata saturata voucher KU MBR-6033 NADH dehydrogenase subunit 3 (ND3) gene, partial cds; mitochondrial.	Myrmelastes saturatus saturatus	""	""	KU MBR-6033	""	""	""	""
EU339946	Brazil:Mato Grosso	""	Hypocnemis cantator voucher Br-HypcantMT NADH dehydrogenase subunit 2 (ND2) gene, partial cds; mitochondrial.	Hypocnemis cantator	""	""	Br-HypcantMT	""	""	""	""
EU526960	""	""	Stephania rotunda voucher Br-D.Aplin-S4034 ATP synthase beta subunit (atpB) gene, partial cds; chloroplast.	Stephania rotunda	""	""	Br-D.Aplin-S4034	""	""	""	""
EU526972	""	""	Dioscoreophyllum cumminsii voucher Br-D.Aplin-S4049 ATP synthase beta subunit (atpB) gene, partial cds; chloroplast.	Dioscoreophyllum cumminsii	""	""	Br-D.Aplin-S4049	""	""	""	""
EU526978	""	""	Cissampelos owariensis voucher Br-D.Aplin-S4039 ATP synthase beta subunit (atpB) gene, partial cds; chloroplast.	Cissampelos owariensis	""	""	Br-D.Aplin-S4039	""	""	""	""
EU526979	""	""	Borismene japurensis voucher Br-D.Aplin-S4033 ATP synthase beta subunit (atpB) gene, partial cds; chloroplast.	Borismene japurensis	""	""	Br-D.Aplin-S4033	""	""	""	""
EU526983	""	""	Anamirta cocculus voucher Br-D.Aplin-S4042 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast.	Anamirta cocculus	""	""	Br-D.Aplin-S4042	""	""	""	""
EU526984	""	""	Borismene japurensis voucher Br-D.Aplin-S4033 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast.	Borismene japurensis	""	""	Br-D.Aplin-S4033	""	""	""	""
EU526985	""	""	Chasmanthera welwitschii voucher Br-D.Aplin-S4040 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast.	Chasmanthera welwitschii	""	""	Br-D.Aplin-S4040	""	""	""	""
EU526986	""	""	Cissampelos owariensis voucher Br-D.Aplin-S4039 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast.	Cissampelos owariensis	""	""	Br-D.Aplin-S4039	""	""	""	""
EU526988	""	""	Dioscoreophyllum cumminsii voucher Br-D.Aplin-S4049 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast.	Dioscoreophyllum cumminsii	""	""	Br-D.Aplin-S4049	""	""	""	""
EU564451	""	""	Bos indicus voucher BR-S23 prion protein (PRNP) gene, complete cds.	Bos indicus	""	""	BR-S23	""	""	""	""
EU564452	""	""	Bos indicus voucher BR-S25 prion protein (PRNP) gene, complete cds.	Bos indicus	""	""	BR-S25	""	""	""	""
EU564453	""	""	Bos indicus voucher BR-S26 prion protein (PRNP) gene, complete cds.	Bos indicus	""	""	BR-S26	""	""	""	""
EU870744	Germany	""	Acarospora bullata voucher BM<GBR-LONDON>:Lumbsch & Huneck 1990 beta-tubulin gene, partial sequence.	Acarospora bullata	""	""	BM<GBR-LONDON>:Lumbsch & Huneck 1990	""	""	""	""
EU870753	Italy:Mt Vesuvius	""	Myriospora smaragdula voucher BM<GBR-LONDON>:Purvis 1999 beta-tubulin gene, partial sequence.	Myriospora smaragdula	""	""	BM<GBR-LONDON>:Purvis 1999	""	""	""	""
EU870773	Romania:Zlatna	""	Myriospora smaragdula voucher BM<GBR-LONDON>:2001 Rusu beta-tubulin gene, partial sequence.	Myriospora smaragdula	""	""	BM<GBR-LONDON>:2001 Rusu	""	""	""	""
FJ648775	""	""	Rhombomys opimus voucher IR-SEGO-Hybr-23 cytochrome B (cytb) gene, partial cds; mitochondrial.	Rhombomys opimus	""	""	IR-SEGO-Hybr-23	""	""	""	""
FJ710832	Australia:Victoria Creek, Williamstown SA	""	Galaxias brevipinnis 18S ribosomal RNA gene, partial sequence.	Galaxias brevipinnis	""	""	South Australian Museum Adelaide SAF-FISHY2__BR-2	""	""	""	""
FJ710930	Australia:Victoria Creek, Williamstown SA	""	Galaxias brevipinnis 12S ribosomal RNA gene, partial sequence; mitochondrial.	Galaxias brevipinnis	""	""	South Australian Museum Adelaide SAF-FISHY2__BR-2	""	""	""	""
FJ868918	USA:southeastern	""	Elytraria caroliniensis voucher BR-19712929-00cv internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Elytraria caroliniensis	""	""	BR-19712929-00cv	""	""	""	""
FJ868920	Malawi	""	Elytraria acaulis voucher BR-Goyoler & Paton 3,520 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Elytraria acaulis	""	""	BR-Goyoler & Paton 3,520	""	""	""	""
FJ868936	USA:southeastern	""	Elytraria caroliniensis voucher BR-19712929-00cv trnS-trnG intergenic spacer, partial sequence; chloroplast.	Elytraria caroliniensis	""	""	BR-19712929-00cv	""	""	""	""
FJ868937	Democratic Republic of the Congo	""	Elytraria marginata voucher BR-19860332cv trnS-trnG intergenic spacer, partial sequence; chloroplast.	Elytraria marginata	""	""	BR-19860332cv	""	""	""	""
FJ868938	Tanzania	""	Elytraria minor voucher BR-Faulkner 1,783A trnS-trnG intergenic spacer, partial sequence; chloroplast.	Elytraria minor	""	""	BR-Faulkner 1,783A	""	""	""	""
FJ868940	Malawi	""	Elytraria acaulis voucher BR-Goyoler & Paton 3,520 trnS-trnG intergenic spacer, partial sequence; chloroplast.	Elytraria acaulis	""	""	BR-Goyoler & Paton 3,520	""	""	""	""
FJ907010	""	""	Morinda lucida voucher BR-19733106 trnT-trnL intergenic spacer, partial sequence; tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast.	Morinda lucida	""	""	BR-19733106	""	""	""	""
FJ907073	""	""	Morinda lucida voucher BR-19733106 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.	Morinda lucida	""	""	BR-19733106	""	""	""	""
FJ907137	""	""	Morinda lucida voucher BR-19733106 external transcribed spacer, partial sequence.	Morinda lucida	""	""	BR-19733106	""	""	""	""
FM207422	""	""	Campylanthus sedoides ITS1, 5.8S rRNA gene and ITS2, specimen voucher BM<GBR-LONDON>:Miller & Nyberg 9451	Campylanthus sedoides	""	""	BM<GBR-LONDON>:Miller & Nyberg 9451	""	""	""	""
FM207447	""	""	Campylanthus sedoides partial DNA for atpB-rbcL intergenic spacer, specimen voucher BM<GBR-LONDON>:Miller & Nyberg 9451	Campylanthus sedoides	""	""	BM<GBR-LONDON>:Miller & Nyberg 9451	""	""	""	""
FN552623	""	""	Thamnosma montana chloroplast partial matK gene for maturase K, specimen voucher BM<GBR-LONDON>:White 4252, exon 1	Thamnosma montana	""	""	BM<GBR-LONDON>:White 4252	""	""	""	""
FN552624	""	""	Thamnosma pailensis chloroplast partial matK gene for maturase K, specimen voucher BM<GBR-LONDON>:Woodruff 369, exon 1	Thamnosma pailensis	""	""	BM<GBR-LONDON>:Woodruff 369	""	""	""	""
FN552639	""	""	Thamnosma montana atpB/rbcL intergenic spacer and partial rbcL gene for ribulose 1,5-bisphosphate carboxylase, specimen voucher BM<GBR-LONDON>:White 4252	Thamnosma montana	""	""	BM<GBR-LONDON>:White 4252	""	""	""	""
FN552640	""	""	Thamnosma pailensis atpB/rbcL intergenic spacer and partial rbcL gene for ribulose 1,5-bisphosphate carboxylase, specimen voucher BM<GBR-LONDON>:Woodruff 369	Thamnosma pailensis	""	""	BM<GBR-LONDON>:Woodruff 369	""	""	""	""
FN552655	""	""	Thamnosma montana ITS1, specimen voucher BM<GBR-LONDON>:White 4252	Thamnosma montana	""	""	BM<GBR-LONDON>:White 4252	""	""	""	""
FN552656	""	""	Thamnosma pailensis ITS1, specimen voucher BM<GBR-LONDON>:Woodruff 369	Thamnosma pailensis	""	""	BM<GBR-LONDON>:Woodruff 369	""	""	""	""
FN552671	""	""	Thamnosma pailensis ITS2, specimen voucher BM<GBR-LONDON>:Woodruff 369	Thamnosma pailensis	""	""	BM<GBR-LONDON>:Woodruff 369	""	""	""	""
FN552682	""	""	Thamnosma montana partial rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, specimen voucher BM<GBR-LONDON>:White 4252	Thamnosma montana	""	""	BM<GBR-LONDON>:White 4252	""	""	""	""
FN552683	""	""	Thamnosma pailensis partial rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, specimen voucher BM<GBR-LONDON>:Woodruff 369	Thamnosma pailensis	""	""	BM<GBR-LONDON>:Woodruff 369	""	""	""	""
FN870382	Portugal:Azores	""	Alopecurus myosuroides plastid partial rbcL gene for ribulose biphosphate carboxylase, specimen voucher BM<GBR-LONDON>:H. Schaefer 2008/337	Alopecurus myosuroides	""	""	BM<GBR-LONDON>:H. Schaefer 2008/337	""	""	""	""
FN870383	Portugal:Azores	""	Axonopus fissifolius plastid partial rbcL gene for ribulose biphosphate carboxylase, specimen voucher BM<GBR-LONDON>:H. Schaefer 2008/673	Axonopus fissifolius	""	""	BM<GBR-LONDON>:H. Schaefer 2008/673	""	""	""	""
FN870384	Portugal:Azores	""	Briza maxima plastid partial rbcL gene for ribulose biphosphate carboxylase, specimen voucher BM<GBR-LONDON>:H. Schaefer 2008/15	Briza maxima	""	""	BM<GBR-LONDON>:H. Schaefer 2008/15	""	""	""	""
FN870385	Portugal:Azores	""	Bromus catharticus plastid partial rbcL gene for ribulose biphosphate carboxylase, specimen voucher BM<GBR-LONDON>:H. Schaefer 2008/16	Bromus catharticus	""	""	BM<GBR-LONDON>:H. Schaefer 2008/16	""	""	""	""
FN870386	Portugal:Azores	""	Danthonia decumbens plastid partial rbcL gene for ribulose biphosphate carboxylase, specimen voucher BM<GBR-LONDON>:H. Schaefer 2008/181	Danthonia decumbens	""	""	BM<GBR-LONDON>:H. Schaefer 2008/181	""	""	""	""
FN870388	Portugal:Azores	""	Deschampsia foliosa plastid partial rbcL gene for ribulose biphosphate carboxylase, specimen voucher BM<GBR-LONDON>:H. Schaefer 2008/404	Deschampsia foliosa	""	""	BM<GBR-LONDON>:H. Schaefer 2008/404	""	""	""	""
FN870389	Portugal:Azores	""	Eleusine tristachya plastid partial rbcL gene for ribulose biphosphate carboxylase, specimen voucher BM<GBR-LONDON>:H. Schaefer 2008/602	Eleusine tristachya	""	""	BM<GBR-LONDON>:H. Schaefer 2008/602	""	""	""	""
FN870391	Portugal:Azores	""	Festuca petraea plastid partial rbcL gene for ribulose biphosphate carboxylase, specimen voucher BM<GBR-LONDON>:H. Schaefer 2008/310	Festuca petraea	""	""	BM<GBR-LONDON>:H. Schaefer 2008/310	""	""	""	""
FN870392	Portugal:Azores	""	Gastridium ventricosum plastid partial rbcL gene for ribulose biphosphate carboxylase, specimen voucher BM<GBR-LONDON>:H. Schaefer 2008/612	Gastridium ventricosum	""	""	BM<GBR-LONDON>:H. Schaefer 2008/612	""	""	""	""
FN870393	Portugal:Azores	""	Gaudinia coarctata plastid partial rbcL gene for ribulose biphosphate carboxylase, specimen voucher BM<GBR-LONDON>:H. Schaefer 2008/59	Gaudinia coarctata	""	""	BM<GBR-LONDON>:H. Schaefer 2008/59	""	""	""	""
FN870394	Portugal:Azores	""	Monerma cylindrica plastid partial rbcL gene for ribulose biphosphate carboxylase, specimen voucher BM<GBR-LONDON>:H. Schaefer 2008/613	Hainardia cylindrica	""	""	BM<GBR-LONDON>:H. Schaefer 2008/613	""	""	""	""
FN870395	Portugal:Azores	""	Lagurus ovatus plastid partial rbcL gene for ribulose biphosphate carboxylase, specimen voucher BM<GBR-LONDON>:H. Schaefer 2008/80	Lagurus ovatus	""	""	BM<GBR-LONDON>:H. Schaefer 2008/80	""	""	""	""
FN870396	Portugal:Azores	""	Leersia oryzoides plastid partial rbcL gene for ribulose biphosphate carboxylase, specimen voucher BM<GBR-LONDON>:H. Schaefer 2008/414	Leersia oryzoides	""	""	BM<GBR-LONDON>:H. Schaefer 2008/414	""	""	""	""
FN870397	Portugal:Azores	""	Lolium multiflorum plastid partial rbcL gene for ribulose biphosphate carboxylase, specimen voucher BM<GBR-LONDON>:H. Schaefer 2008/87	Lolium multiflorum	""	""	BM<GBR-LONDON>:H. Schaefer 2008/87	""	""	""	""
FN870398	Portugal:Azores	""	Dichanthelium dichotomum plastid partial rbcL gene for ribulose biphosphate carboxylase, specimen voucher BM<GBR-LONDON>:H. Schaefer 2008/260	Dichanthelium dichotomum	""	""	BM<GBR-LONDON>:H. Schaefer 2008/260	""	""	""	""
FN870399	Portugal:Azores	""	Paspalum distichum plastid partial rbcL gene for ribulose biphosphate carboxylase, specimen voucher BM<GBR-LONDON>:H. Schaefer 2008/366	Paspalum distichum	""	""	BM<GBR-LONDON>:H. Schaefer 2008/366	""	""	""	""
